,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
385,lima,90,PE,1570423350,87,-12.06,-77.04,60.8,10.29
386,bhadra,27,IN,1570423536,29,29.1,75.17,87.74,8.32
387,esil,0,KZ,1570423536,30,51.96,66.41,60.16,8.28
388,fatehpur,0,PK,1570423536,31,31.18,71.21,84.59,4.43
389,bagotville,19,AU,1570423537,66,-28.98,153.42,98.6,13.87
390,acapulco,75,MX,1570423105,79,16.86,-99.88,84.2,5.82
391,estelle,0,FR,1570423537,62,43.97,3.47,59.0,10.29
392,mount gambier,20,GB,1570423345,93,53.66,-1.85,53.01,10.29
393,ponta delgada,19,BR,1570423286,93,-0.53,-65.05,73.05,1.99
394,progreso,0,UY,1570423271,76,-34.68,-56.22,55.99,8.05
395,omagh,100,GB,1570423538,94,54.6,-7.3,55.05,9.95
396,souillac,89,FR,1570423283,100,45.6,-0.6,51.01,1.12
397,twin falls,90,US,1570423538,87,48.16,-123.95,53.6,4.7
398,abu samrah,75,JP,1570423349,73,34.51,131.49,79.0,3.36
399,ust-ilimsk,100,RU,1570423539,94,57.96,102.73,38.65,9.93
400,maniitsoq,1,GL,1570423418,54,65.42,-52.9,34.59,3.2
401,ugoofaaru,96,MV,1570423404,72,5.67,73.0,82.32,8.41
402,ligayan,82,PH,1570423540,66,4.65,119.47,83.98,5.19
403,marinette,1,US,1570423540,71,45.1,-87.63,57.2,5.82
404,isabela,50,PH,1570423540,73,10.2,122.99,83.62,10.49
405,padang,56,ID,1570423421,84,-0.92,100.36,78.18,14.9
406,oistins,40,BB,1570423541,83,13.07,-59.53,80.6,19.46
407,weymouth,75,US,1570423436,77,42.22,-70.94,68.0,13.87
408,champerico,75,MX,1570423424,73,16.38,-93.6,77.0,11.41
409,yaan,100,NG,1570423542,97,7.38,8.57,71.59,4.41
410,niono,95,ML,1570423542,69,14.25,-5.99,79.84,5.88
411,klaksvik,90,FO,1570423294,81,62.23,-6.59,51.8,34.45
412,jackson,1,US,1570423542,80,43.48,-110.76,35.6,5.82
413,tipuani,94,BO,1570423543,96,-15.56,-68.02,44.05,1.54
414,srednekolymsk,0,RU,1570423322,88,67.46,153.71,18.49,7.31
415,gigmoto,56,PH,1570423543,77,13.78,124.39,82.72,12.95
416,sao desiderio,0,IN,1570423544,61,20.51,76.21,83.33,5.59
417,nushki,0,PK,1570423544,34,29.55,66.02,78.96,9.89
418,yulara,0,AU,1570423329,15,-25.24,130.99,89.6,10.29
419,teya,40,MX,1570423544,83,21.05,-89.07,81.0,5.82
420,raymondville,90,US,1570423545,71,37.34,-91.83,57.99,3.36
421,grand gaube,90,FR,1570423310,100,48.39,5.49,51.8,5.82
422,guajara,0,BR,1570423545,88,-0.88,-48.16,77.0,9.17
423,iquique,90,CL,1570423395,67,-20.22,-70.14,59.0,5.82
424,aanekoski,90,FI,1570423546,93,62.6,25.73,37.0,4.7
425,palafrugell,90,ES,1570423546,67,41.92,3.16,63.0,10.29
426,aklavik,75,CA,1570423303,66,68.22,-135.01,32.0,6.93
427,barinas,98,VE,1570423547,91,8.64,-70.23,71.2,3.15
428,huancabamba,90,PE,1570423547,77,-5.24,-79.45,58.08,2.1
429,domat,75,CH,1570423547,92,46.83,9.45,48.0,2.24
430,tulum,75,MX,1570423548,88,20.21,-87.46,78.8,1.97
431,ambanja,20,MG,1570423548,100,-13.68,48.45,69.8,2.24
432,saint-francois,66,FR,1570423311,96,46.42,3.91,46.99,1.99
433,ibanda,75,TZ,1570423549,68,-2.8,32.47,69.8,11.41
434,vila velha,0,IT,1570423549,100,45.18,8.4,55.99,1.12
435,vryburg,94,ZA,1570423549,27,-26.96,24.73,76.94,13.69
436,ituango,100,CO,1570423550,98,7.17,-75.76,56.83,1.12
437,cape coast,86,CL,1570423266,100,-36.41,-71.9,53.6,3.36
438,meulaboh,30,ID,1570423255,72,4.14,96.13,81.48,4.74
439,antsohihy,0,MG,1570423551,55,-14.88,47.99,83.01,17.52
440,labuhan,95,ID,1570423369,41,-2.54,115.51,95.84,2.17
441,sokoni,0,CD,1570423551,46,-12.89,28.78,75.52,11.16
442,clarence town,90,US,1570423382,93,42.98,-78.59,63.0,8.05
443,chara,75,GR,1570423552,82,39.42,22.43,62.6,4.7
444,boca do acre,0,IT,1570423552,100,45.68,8.41,55.99,1.12
445,rancho palos verdes,69,BR,1570423552,88,-23.03,-52.96,63.39,5.23
446,saint-georges,96,CA,1570423553,100,46.12,-70.67,57.99,10.63
447,lakes entrance,90,US,1570423553,100,37.5,-83.94,70.0,3.36
448,shache,94,CN,1570423554,83,38.42,77.24,69.01,8.81
449,zittau,9,CZ,1570423554,95,50.9,14.81,33.01,1.79
450,koupela,19,BF,1570423554,92,12.18,-0.35,73.7,7.02
451,verkhnevilyuysk,88,RU,1570423555,96,63.45,120.31,34.41,5.39
452,namatanai,52,PG,1570423555,81,-3.66,152.44,80.99,13.65
453,sangar,99,RU,1570423555,55,63.92,127.47,32.91,10.49
454,tallahassee,75,US,1570423317,83,30.44,-84.28,75.99,4.7
455,shimoni,33,KE,1570423556,59,-4.65,39.38,81.1,5.68
456,luderitz,0,NA,1570423401,76,-26.65,15.16,55.4,5.82
457,barra patuca,75,GM,1570423556,88,13.49,-16.54,80.6,3.36
458,chiredzi,0,ZW,1570423556,26,-21.05,31.67,81.98,0.89
459,yumen,0,CN,1570423329,27,40.29,97.04,64.05,24.34
460,salalah,75,OM,1570423341,78,17.01,54.1,80.6,5.82
461,russell,1,US,1570423557,87,38.9,-98.86,50.0,5.82
462,flin flon,90,FR,1570423354,100,48.5,6.66,51.8,5.82
463,high rock,90,US,1570423558,87,33.61,-95.75,68.0,11.41
464,jambi,92,ID,1570423558,43,-1.6,103.62,93.07,4.52
465,kirakira,61,SB,1570423272,86,-10.46,161.92,80.14,16.78
466,juneau,90,US,1570423559,86,58.3,-134.42,41.0,9.17
467,zaysan,0,KZ,1570423560,19,47.47,84.87,64.27,7.02
468,tabuk,0,PH,1570423560,48,17.41,121.44,80.05,3.13
469,tessalit,89,ML,1570423318,14,20.2,1.01,81.91,5.99
470,moba,23,CD,1570423561,49,-7.04,29.77,73.32,14.54
471,okhotsk,0,RU,1570423391,33,59.36,143.24,34.77,8.55
472,palana,100,RU,1570423561,79,59.08,159.95,34.53,32.14
473,kailua,90,US,1570423361,69,21.39,-157.74,82.4,4.7
474,svetlaya,0,RU,1570423562,52,46.54,138.33,52.68,6.58
475,vysotsk,90,RU,1570423562,93,60.63,28.57,35.6,2.1
476,maine-soroa,66,NE,1570423562,61,13.21,12.02,80.5,7.23
477,borogontsy,100,RU,1570423563,43,62.67,131.17,31.9,4.92
478,powell,90,US,1570423301,93,40.16,-83.08,57.99,4.43
479,rio gallegos,1,US,1570423319,81,41.11,-90.4,53.6,4.7
480,wencheng,27,CN,1570423563,62,27.79,120.09,80.07,2.89
481,talas,0,KG,1570423564,79,42.52,72.24,69.01,1.01
482,mogadishu,75,SO,1570423434,78,2.04,45.34,78.8,11.41
483,abeche,52,TD,1570423564,62,13.83,20.83,80.52,3.62
484,vikulovo,100,RU,1570423565,96,55.07,40.96,34.95,10.09
485,eisenberg,51,DE,1570423565,89,50.97,11.9,37.4,2.24
486,lewistown,1,US,1570423566,76,40.39,-90.15,55.99,4.7
487,bitung,40,ID,1570423566,52,1.44,125.19,91.4,9.17
488,stanilesti,0,RO,1570423566,87,46.62,28.17,44.6,5.82
489,losino-petrovskiy,90,RU,1570423566,90,55.87,38.2,36.0,11.18
490,grand river south east,90,FR,1570423308,100,48.39,5.49,51.8,5.82
491,noyabrsk,98,RU,1570423568,66,63.2,75.45,39.81,11.7
492,kijang,75,KR,1570423568,72,35.24,129.21,68.0,3.36
493,pedernales,100,EC,1570423568,85,0.07,-80.05,72.85,7.78
494,farafangana,4,MG,1570423569,68,-22.82,47.83,75.55,3.22
495,ivanteyevka,90,RU,1570423569,88,55.97,37.92,36.0,11.18
496,pavlovskiy,40,RU,1570423569,93,45.07,37.77,46.4,4.47
497,new ulm,75,LR,1570423287,100,6.65,-10.59,75.2,4.63
498,naryan-mar,24,RU,1570423327,80,67.67,53.09,34.1,7.29
499,beloha,0,MG,1570423068,39,-25.17,45.06,81.73,10.36
500,coahuayana,19,MX,1570423571,96,18.62,-100.35,70.55,1.52
501,agirish,98,RU,1570423571,76,61.92,63.02,42.65,5.12
502,abakaliki,100,NG,1570423571,95,6.32,8.11,73.54,2.73
503,artyom,40,RU,1570423572,59,43.36,132.19,62.6,17.9
504,bam,0,IR,1570423572,46,29.11,58.36,66.81,11.56
505,conakry,100,GN,1570423572,91,9.52,-13.7,76.92,14.61
506,araouane,49,ML,1570423573,11,18.9,-3.53,85.51,7.61
507,vuktyl,100,RU,1570423573,75,63.86,57.31,36.15,4.99
508,qaqortoq,40,GL,1570423371,32,60.72,-46.03,51.8,13.87
509,abu zabad,75,JP,1570423574,73,34.51,131.49,79.0,3.36
510,breytovo,100,RU,1570423574,96,58.3,37.86,33.4,8.93
511,bubaque,100,GW,1570423304,77,11.28,-15.83,82.65,15.19
512,tuy hoa,20,PH,1570423575,47,14.02,120.73,95.0,5.82
513,poum,40,MK,1570423319,81,41.28,20.71,42.8,9.17
514,sistranda,75,NO,1570423420,81,63.73,8.83,45.0,6.93
515,matay,0,EG,1570423576,57,28.42,30.79,73.3,9.91
516,kalianget,20,ID,1570423577,36,-7.35,109.91,95.0,9.17
517,campbell river,75,US,1570423577,49,37.29,-121.95,71.01,5.82
518,melilla,90,EC,1570423578,88,-0.8,-80.23,71.6,5.82
519,hirata,75,JP,1570423578,88,37.21,140.56,73.0,3.36
520,buta,100,CD,1570423578,97,2.79,24.73,69.16,2.53
521,hobyo,49,SO,1570423578,53,5.35,48.53,86.79,10.83
522,noumea,40,NC,1570423579,51,-22.28,166.46,80.6,13.87
523,batagay-alyta,100,RU,1570423579,92,67.8,130.41,11.78,2.71
524,burns lake,1,US,1570423579,64,43.59,-119.05,44.01,4.7
525,holme,0,DK,1570423580,93,56.11,10.17,39.0,2.24
526,poyarkovo,100,RU,1570423580,55,49.62,128.65,51.43,5.79
527,ekhabi,87,RU,1570423580,62,53.51,142.97,51.96,21.61
528,kendari,88,ID,1570423581,59,-3.99,122.52,85.56,5.39
529,dawlatabad,10,AF,1570423581,9,36.41,64.91,80.76,9.35
530,mareeba,1,AU,1570423581,48,-16.99,145.42,86.0,10.29
531,amapa,40,HN,1570423582,78,15.09,-87.97,82.4,3.36
532,fortuna foothills,1,US,1570423582,93,40.6,-124.16,54.0,5.82
533,ust-nera,31,RU,1570423582,82,64.57,143.24,11.91,2.62
534,lazaro cardenas,5,MX,1570423345,54,29.05,-111.04,86.0,3.36
535,tuatapere,97,NZ,1570423275,73,-46.13,167.69,52.3,27.07
536,muros,40,ES,1570423401,100,42.77,-9.06,57.99,3.6
537,prado,100,CO,1570423339,87,3.75,-74.93,74.29,3.85
538,tual,94,ID,1570423411,83,-5.67,132.75,79.48,16.06
539,bereda,0,ES,1570423337,100,43.27,-7.54,57.0,3.36
540,sur,0,OM,1570423367,52,22.57,59.53,87.63,5.37
541,santa isabel do rio negro,0,PH,1570423584,68,17.49,120.43,84.14,8.99
542,plettenberg bay,20,DE,1570423384,93,51.21,7.87,48.99,8.05
543,vanderhoof,100,CA,1570423585,79,54.02,-124.02,47.26,7.49
